title,price,sid,linkwithprice,desc,categoryId,productid
Viessmann Vitola 200 (18 kW),1424.08,293331,/preisvergleich/Relocate/585082764.html?categoryId=18406&pos=4&price=1424.08&productid=1064514&sid=293331&type=offer, Viess­mann Öl­heiz­kes­sel Vitola 200 18 kW und VB2AN68,18406,1064514
Wolf ComfortLine CNU-CE 20 TH 150 L,2968.03,276812,/preisvergleich/Relocate/501881318.html?categoryId=18406&pos=4&price=2968.03&productid=3471151&sid=276812&type=offer, Wolf Paket Stahl­heiz­kes­sel CNU-20 TH Aus­füh­rung He,18406,3471151
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2160.0,289859,/preisvergleich/Relocate/481804868.html?categoryId=18406&pos=3&price=2160.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 994, ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket Jun­kers",18406,3711720
Wolf ComfortLine CNU 17 Premio,3573.76,276812,/preisvergleich/Relocate/501881379.html?categoryId=18406&pos=6&price=3573.76&productid=3462066&sid=276812&type=offer, Wolf Paket Stahl­heiz­kes­sel CNU-17 Premio Aus­füh­run,18406,3462066
Viessmann Vitola 200 (18 kW),1499.6,293515,/preisvergleich/Relocate/574210950.html?categoryId=18406&pos=5&price=1499.6&productid=1064514&sid=293515&type=offer, Viess­mann Vitola 200 mit 18 KW,18406,1064514
Wolf ComfortLine CNU-CE 20 TH 150 L,3373.51,276812,/preisvergleich/Relocate/501881333.html?categoryId=18406&pos=5&price=3373.51&productid=3471151&sid=276812&type=offer, Wolf Paket Stahl­heiz­kes­sel CNU-20 TH Aus­füh­rung Mi,18406,3471151
Viessmann Vitola 200 (50 kW),1458.94,293331,/preisvergleich/Relocate/585082752.html?categoryId=18406&pos=1&price=1458.94&productid=1238963&sid=293331&type=offer, Viess­mann Öl­heiz­kes­sel Vitola 200 50 kW Öl­hei­zung VB2AN56,18406,1238963
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2165.0,289859,/preisvergleich/Relocate/481804066.html?categoryId=18406&pos=4&price=2165.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 993, ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket Jun­kers",18406,3711720
Viessmann Vitola 200 (18 kW),1598.92,294528,/preisvergleich/Relocate/559969139.html?categoryId=18406&pos=6&price=1598.92&productid=1064514&sid=294528&type=offer, Vitola 200 18 kW mit Vi­to­tro­nic 200 KO1B und Kes­sel­tür,18406,1064514
Wolf ComfortLine CNU-CE 20 TH 150 L,4191.83,276812,/preisvergleich/Relocate/501881366.html?categoryId=18406&pos=6&price=4191.83&productid=3471151&sid=276812&type=offer, Wolf Paket Stahl­heiz­kes­sel CNU-20 TH Aus­füh­rung He,18406,3471151
Viessmann Vitola 200 (50 kW),1704.65,9701,/preisvergleich/Relocate/558061787.html?categoryId=18406&pos=2&price=1704.65&productid=1238963&sid=9701&type=offer, ,18406,1238963
Brötje LogoBloc Unit L-UB 20 C (20 kW),3285.0,9701,/preisvergleich/Relocate/516356754.html?categoryId=18406&pos=1&price=3285.0&productid=1089221&sid=9701&type=offer, ,18406,1089221
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2300.0,289859,/preisvergleich/Relocate/481781296.html?categoryId=18406&pos=5&price=2300.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 258, ohne Re­ge­lung, ohne Spei­cher, ATEC Schacht 6 Meter 80/125 Jun­kers",18406,3711720
Viessmann Vitola 200 (18 kW),1731.26,293331,/preisvergleich/Relocate/585082851.html?categoryId=18406&pos=7&price=1731.26&productid=1064514&sid=293331&type=offer, Viess­mann Öl­heiz­kes­sel Vitola 200 18 kW Öl­hei­zung VB2AN58,18406,1064514
Wolf ComfortLine CNU-CE 20 TH 150 L,4597.3,276812,/preisvergleich/Relocate/501881369.html?categoryId=18406&pos=7&price=4597.3&productid=3471151&sid=276812&type=offer, Wolf Paket Stahl­heiz­kes­sel CNU-20 TH Aus­füh­rung Mi,18406,3471151
Viessmann Vitola 200 (50 kW),1861.5,293331,/preisvergleich/Relocate/585082793.html?categoryId=18406&pos=3&price=1861.5&productid=1238963&sid=293331&type=offer, Viess­mann 50 kW Öl­heiz­kes­sel Vitola 200 Öl Hei­zung / Öl­hei­zung VB2AN73,18406,1238963
Buderus Logano G125 BE Eco-34,2060.0,9701,/preisvergleich/Relocate/596043780.html?categoryId=18406&pos=1&price=2060.0&productid=1217971&sid=9701&type=offer, ,18406,1217971
Buderus Logano G125 Eco-34,1259.0,9701,/preisvergleich/Relocate/539600133.html?categoryId=18406&pos=1&price=1259.0&productid=1221496&sid=9701&type=offer, ,18406,1221496
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2310.0,289859,/preisvergleich/Relocate/481781739.html?categoryId=18406&pos=6&price=2310.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 258, ohne Re­ge­lung, ohne Spei­cher, Jun­kers AZB10 Dach rot 80/125 Jun­kers",18406,3711720
Viessmann Vitola 200 (18 kW),1898.99,293331,/preisvergleich/Relocate/585082485.html?categoryId=18406&pos=8&price=1898.99&productid=1064514&sid=293331&type=offer, Viess­mann Öl­kes­sel Vitola 200 18 kW rlu VB2AN65,18406,1064514
Buderus Logano G125 BE Eco-21,1910.0,9701,/preisvergleich/Relocate/596043776.html?categoryId=18406&pos=1&price=1910.0&productid=1217965&sid=9701&type=offer, ,18406,1217965
Viessmann Vitogas 200-F Erdgas E/H (18 kW),1101.13,293331,/preisvergleich/Relocate/585082266.html?categoryId=18406&pos=1&price=1101.13&productid=3942472&sid=293331&type=offer, Viess­mann Gas­kes­sel Vi­to­gas 200-F Gas­hei­zung 18 kW Erdgas E / H GS21328,18406,3942472
Viessmann Vitola 200 (50 kW),2055.9,293515,/preisvergleich/Relocate/574211004.html?categoryId=18406&pos=4&price=2055.9&productid=1238963&sid=293515&type=offer, Viess­mann Vitola 200 mit 50 KW,18406,1238963
Buderus Logano G125 BE Eco-34,2388.0,9701,/preisvergleich/Relocate/447561382.html?categoryId=18406&pos=2&price=2388.0&productid=1217971&sid=9701&type=offer, ,18406,1217971
Buderus Logano G125 Eco-34,1449.0,9701,/preisvergleich/Relocate/447561381.html?categoryId=18406&pos=2&price=1449.0&productid=1221496&sid=9701&type=offer, ,18406,1221496
