title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
Wolf ComfortLine CNK 17,944.79, Wolf ComfortLine CNK 17,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 17 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 51 Liter / Durchmesser des Abgasanschlusses: 129 ...",299105,/preisvergleich/Relocate/526943167.html?categoryId=18406&pos=1&price=944.79&productid=3461977&sid=299105&type=offer,3461977,18406, Wolf Com­fort­Li­ne Öl-/Gas-Heiz­kes­sel CNK-17 aus Stahl ohne Bren­ner 8906848
Brötje LogoBloc Unit L-UG 70 C (70 kW),5445.0, Brötje LogoBloc Unit L-UG 70 C (70 kW),"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 70 kW / Energieträger: Öl / Norm-Nutzungsgrad: 94 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / maximale Vorlauftemperatur: 80 °C / Wasserinhalt im Kessel: 187 Liter / ...",9701,/preisvergleich/Relocate/516356737.html?categoryId=18406&pos=1&price=5445.0&productid=3409393&sid=9701&type=offer,3409393,18406, 
Wolf ComfortLine CNU 25 TH,1838.22, Wolf ComfortLine CNU 25 TH,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 23 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 58 Liter / Durchmesser des Abgasanschlusses: 129 ...",9701,/preisvergleich/Relocate/485216732.html?categoryId=18406&pos=4&price=1838.22&productid=3462077&sid=9701&type=offer,3462077,18406, 
Wolf ComfortLine CNU 63 TH,2755.15, Wolf ComfortLine CNU 63 TH,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 50 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 105 Liter / Durchmesser des Abgasanschlusses: 179 ...",9701,/preisvergleich/Relocate/544902806.html?categoryId=18406&pos=4&price=2755.15&productid=3462033&sid=9701&type=offer,3462033,18406, 
Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),2160.0, Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),"Gastherme, Niedertemperaturkessel, Gas-Brennwertkessel, Gas-Heizkessel, Gasheizung / Montageart: Wandkessel / Nennwärmeleistung: 27,7 kW / Energieträger: Erdgas, Erdgas E, Erdgas H, Erdgas L, Erdgas LL, Flüssiggas / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer ...",289859,/preisvergleich/Relocate/481825642.html?categoryId=18406&pos=10&price=2160.0&productid=1217855&sid=289859&type=offer,1217855,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 21 Brenn­wert­ther­me 28 kW, L/LL Jun­kers FR 50, ohne Spei­cher, ohne Ab­gas­pa­ket, ohne Mon­ta­ge­plat­te Jun­kers"
Viessmann Vitogas 200-F (18 kW),2127.72, Viessmann Vitogas 200-F (18 kW),"Gasheizung, Niedertemperaturkessel, Gas-Heizkessel, Kombikessel / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 93 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / maximale ...",297223,/preisvergleich/Relocate/436143912.html?categoryId=18406&pos=10&price=2127.72&productid=1321242&sid=297223&type=offer,1321242,18406, VIESS­MANN GS21319 Vi­to­gas 200-F 18 kW mit Vi­to­tro­nic 200(KO2B) für Erdgas LL
Junkers Cerapur Comfort-Eco ZSBE 16-3 A 23 Erdgas E/H (16 kW),2079.0, Junkers Cerapur Comfort-Eco ZSBE 16-3 A 23 Erdgas E/H (16 kW),"Gasheizung, Gastherme, Niedertemperaturkessel, Gas-Brennwertkessel, Gas-Heizkessel / Montageart: Wandkessel / Nennwärmeleistung: 15,9 kW / Energieträger: Erdgas, Erdgas E, Erdgas H / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / maximale ...",289859,/preisvergleich/Relocate/481813260.html?categoryId=18406&pos=14&price=2079.0&productid=2635849&sid=289859&type=offer,2635849,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 16-3 A 23 Brenn­wert­ther­me 16 kW, E/H ohne Re­ge­lung, ohne Spei­cher, ohne Mon­ta­ge­plat­te, ATEC Schacht 6 Meter 80/125 Jun­kers"
Wolf ComfortLine CNK 20,944.79, Wolf ComfortLine CNK 20,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 20 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 51 Liter / Durchmesser des Abgasanschlusses: 129 ...",299105,/preisvergleich/Relocate/526932559.html?categoryId=18406&pos=1&price=944.79&productid=3461995&sid=299105&type=offer,3461995,18406, Wolf Com­fort­Li­ne Öl-/Gas-Heiz­kes­sel CNK-20 aus Stahl ohne Bren­ner 8906849
Wolf ComfortLine CNU 20 TH,1764.08, Wolf ComfortLine CNU 20 TH,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 19 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 51 Liter / Durchmesser des Abgasanschlusses: 129 ...",9701,/preisvergleich/Relocate/485216818.html?categoryId=18406&pos=3&price=1764.08&productid=3462073&sid=9701&type=offer,3462073,18406, 
Wolf ComfortLine CNK 17,993.35, Wolf ComfortLine CNK 17,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 17 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 51 Liter / Durchmesser des Abgasanschlusses: 129 ...",9701,/preisvergleich/Relocate/545008333.html?categoryId=18406&pos=2&price=993.35&productid=3461977&sid=9701&type=offer,3461977,18406, 
