title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
Viessmann Vitogas 200-F Erdgas E/H (29 kW),1854.62, Viessmann Vitogas 200-F Erdgas E/H (29 kW), 18 ,297223,/preisvergleich/Relocate/588971743.html?categoryId=18406&pos=6&price=1854.62&productid=3942600&sid=297223&type=offer,3942600,18406, VIESS­MANN GS21294 Vi­to­gas 200-F 29 kW mit Vi­to­tro­nic 100(KC4B) für Erdgas E
"Viessmann Vitorondens 200-T (28,9 kW)",4894.99," Viessmann Vitorondens 200-T (28,9 kW)", 22 ,276812,/preisvergleich/Relocate/427057825.html?categoryId=18406&pos=10&price=4894.99&productid=2835997&sid=276812&type=offer,2835997,18406," Viess­mann Paket Vi­to­ron­dens 200-T 28,9 kW mit Misc"
Viessmann Vitogas 200-F (22 kW),1655.0, Viessmann Vitogas 200-F (22 kW), 15 ,223861,/preisvergleich/Relocate/463226461.html?categoryId=18406&pos=6&price=1655.0&productid=1321262&sid=223861&type=offer,1321262,18406, Viess­mann Gas-Nie­der­tem­pe­ra­tur­kes­sel Vi­to­gas 200-F 22 kW mit Re­ge­lung
"Viessmann Vitorondens 200-T (20,2 kW)",4721.44," Viessmann Vitorondens 200-T (20,2 kW)"," 24,6 ",294528,/preisvergleich/Relocate/559986540.html?categoryId=18406&pos=12&price=4721.44&productid=2835975&sid=294528&type=offer,2835975,18406," Paket Vi­to­ron­dens 200-T 20,2 kW ohne Mi­scher mit Vi­to­cell 100-V CVA 200l"
"Viessmann Vitorondens 200-T (24,6 kW)",5180.99," Viessmann Vitorondens 200-T (24,6 kW)", 22 ,276812,/preisvergleich/Relocate/427057864.html?categoryId=18406&pos=12&price=5180.99&productid=2835996&sid=276812&type=offer,2835996,18406," Paket Vi­to­ron­dens 200-T,Vi­to­tro­nic 200, Spei­cher 24,6 kW, 160 Liter rechts"
Viessmann Vitogas 200-F Erdgas L/LL (48 kW),2336.0, Viessmann Vitogas 200-F Erdgas L/LL (48 kW), 22 ,9701,/preisvergleich/Relocate/549622805.html?categoryId=18406&pos=1&price=2336.0&productid=3942581&sid=9701&type=offer,3942581,18406, 
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2010.0, Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW), 24 ,289859,/preisvergleich/Relocate/481818859.html?categoryId=18406&pos=1&price=2010.0&productid=3711720&sid=289859&type=offer,3711720,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket, ohne Mon­ta­ge­plat­te Jun­kers"
Viessmann Vitogas 200-F (42 kW),1892.0, Viessmann Vitogas 200-F (42 kW), 85 ,9701,/preisvergleich/Relocate/444602510.html?categoryId=18406&pos=2&price=1892.0&productid=1321276&sid=9701&type=offer,1321276,18406, 
Viessmann Vitopend 200-W (24 kW),2046.5, Viessmann Vitopend 200-W (24 kW), 17 ,297223,/preisvergleich/Relocate/436147255.html?categoryId=18406&pos=4&price=2046.5&productid=2734161&sid=297223&type=offer,2734161,18406," VIESS­MANN WH2B132 Vi­to­pend 200-W für Erdgas LL, 10,5-24 kW, Gas-Um­lauf., Vi­to­tro­nic 100"
Viessmann Vitogas 200-F (29 kW),1818.0, Viessmann Vitogas 200-F (29 kW)," 28,9 ",223861,/preisvergleich/Relocate/346311784.html?categoryId=18406&pos=6&price=1818.0&productid=1321263&sid=223861&type=offer,1321263,18406, Viess­mann Gas-Nie­der­tem­pe­ra­tur­kes­sel Vi­to­gas 200-F 29 kW mit Vi­to­tro­nic 100
Viessmann Vitogas 200-F (15 kW),1553.0, Viessmann Vitogas 200-F (15 kW), 21 ,9701,/preisvergleich/Relocate/444457623.html?categoryId=18406&pos=5&price=1553.0&productid=1321165&sid=9701&type=offer,1321165,18406, 
Viessmann Vitogas 200-F Erdgas E/H (29 kW),2100.95, Viessmann Vitogas 200-F Erdgas E/H (29 kW), 18 ,294528,/preisvergleich/Relocate/559967031.html?categoryId=18406&pos=7&price=2100.95&productid=3942600&sid=294528&type=offer,3942600,18406, VIESS­MANN Vi­to­gas 200-F - 29 kW mit Vi­to­tro­nic 200(KO2B) für Erdgas E
"Viessmann Vitorondens 200-T (28,9 kW)",5243.99," Viessmann Vitorondens 200-T (28,9 kW)", 22 ,276812,/preisvergleich/Relocate/427057845.html?categoryId=18406&pos=11&price=5243.99&productid=2835997&sid=276812&type=offer,2835997,18406," Paket Vi­to­ron­dens 200-T,Vi­to­tro­nic 200, Spei­cher 28,9 kW, 160 Liter links"
Viessmann Vitogas 200-F (22 kW),1687.72, Viessmann Vitogas 200-F (22 kW), 15 ,297223,/preisvergleich/Relocate/588971845.html?categoryId=18406&pos=7&price=1687.72&productid=1321262&sid=297223&type=offer,1321262,18406, VIESS­MANN GS21293 Vi­to­gas 200-F 22 kW mit Vi­to­tro­nic 100(KC4B) für Erdgas E
